timestamp,lap_number,track,lap_distance,track_position,speed_kmh,gas,brake,steer_angle,gear,rpm,heading,local_velocity_x,local_velocity_y,local_velocity_z,g_force_x,g_force_y,g_force_z
1750936110,1,monza,0.803166687,0.040497586,0.001825317,1,0,0,1,0,2.460296154,-0.000145427,-6.40E-06,-0.000433334,0,0,0
1750936110,1,monza,0.803166687,0.040497586,0.001693487,0,0,0,1,0,2.460295916,-0.000125693,-1.01E-05,-0.000473495,0,0,0
1750936110,1,monza,0.803166687,0.040497586,0.001699946,0,0,0,1,0,2.460295916,-0.00012198,-1.06E-05,-0.000458461,0,0,0
1750936110,1,monza,0.803197205,0.040497586,0.001804047,0,0,0,1,0,2.460295916,-0.00011099,2.59E-05,-0.000471674,0,0,0
1750936110,1,monza,0.803227723,0.040497586,0.001733053,0,0,0,1,0,2.460295916,-0.000137237,5.13E-06,-0.000457654,0,0,0
1750936111,1,monza,0.803227723,0.040497586,0.001817773,0,0,0,1,0,2.460295916,-0.000139873,-1.21E-06,-0.000434041,0,0,0
1750936111,1,monza,0.803227723,0.040497586,0.001773285,0,0,0,1,0,2.460295916,-9.65E-05,-7.92E-06,-0.000442095,0,0,0
1750936111,1,monza,0.803227723,0.040497586,0.001683961,0,0,0,1,0,2.460295677,-0.000129351,-5.40E-06,-0.000470517,0,0,0
1750936111,1,monza,0.803228676,0.040497586,0.001593309,0,0,0,1,0,2.460295916,-0.00011731,2.56E-05,-0.000461238,0,0,0
1750936111,1,monza,0.803289711,0.040497586,0.001640741,0,0,0,1,0,2.460295916,-0.000123239,1.06E-05,-0.000445583,0,0,0
1750936111,1,monza,0.803289711,0.040497586,0.001651217,0,0,0,1,0,2.460295677,-0.000118892,-2.49E-06,-0.000466278,0,0,0
1750936111,1,monza,0.803289711,0.040497586,0.001713682,0,0,0,1,0,2.460295677,-0.000134942,2.34E-05,-0.000502523,0,0,0
1750936111,1,monza,0.803289711,0.040497586,0.00178691,0,0,0,1,0,2.460295916,-0.000141828,1.05E-05,-0.000457657,0,0,0
1750936111,1,monza,0.803320229,0.040497586,0.001563121,0,0,0,1,0,2.460295677,-0.000131851,4.27E-05,-0.000464472,0,0,0
1750936111,1,monza,0.803320229,0.040497586,0.001637477,0,0,0,1,0,2.460295677,-0.000113885,9.86E-07,-0.00044566,0,0,0
1750936111,1,monza,0.803320229,0.040497586,0.001640415,0,0,0,1,0,2.460295677,-0.000137745,-2.12E-06,-0.000472195,0,0,0
1750936111,1,monza,0.8033517,0.040497586,0.001684677,0,0,0,1,0,2.460295677,-0.000119986,1.28E-05,-0.00047824,0,0,0
